FNV     A32     DJB
1017    963     1009
1028    1085    1003
1036    1010    1000
1019    962     939
1025    982     997
1000    1033    972
968     1056    1007
950     1000    1051
958     956     1022
1001    968     998
1018    970     978
970     1004    979
1013    991     979
959     994     1004
1037    1030    1041
996     1008    1002
968     1047    1015
1055    945     976
983     995     1000
959     973     975
1076    998     991
996     1015    970
1010    1040    957
980     1014    1021
956     1010    974
1033    1012    1053
1023    1030    1006
966     1005    946
975     1017    1026
1009    1009    1012
984     969     1018
1025    1003    1009
1013    1022    1002
1050    954     1062
986     977     981
996     1003    1005
974     975     1045
1038    1027    1002
985     1008    1023
988     1014    1027
983     1051    966
956     1020    1019
963     1010    1034
1032    1003    990
1002    948     1023
999     972     1023
956     1026    1060
1040    1048    1055
998     1019    970
996     1053    998
1009    1040    978
982     991     980
1047    985     953
989     975     947
1033    988     1019
1051    1024    1034
949     974     1049
998     988     1059
1029    988     946
1047    1025    1060
1002    1070    994
970     914     985
953     1002    1007
970     983     965
975     1016    1026
1028    1042    1005
1026    974     1019
997     1018    1028
960     981     962
1028    1034    981
1063    979     990
975     1029    979
1044    957     975
1039    1027    991
945     1048    1015
986     1028    981
964     979     978
1029    1027    1000
1004    940     975
1061    927     953
1067    1009    1019
1053    972     1003
984     968     1003
965     954     949
1012    972     971
967     969     987
1001    1023    995
981     997     996
969     970     1030
948     957     977
977     985     973
955     1046    1063
1006    1055    994
1003    1012    989
1004    961     976
988     1004    996
1041    1004    981
998     1019    1007
983     986     1002
997     960     1040
